
tripduration,starttime,stoptime,start station latitude,start station longitude,end station latitude,end station longitude,birth year,gender,
404,2014-07-01 00:00:04,2014-07-01 00:06:48,40.736502,-73.97809472,40.7403432,-73.98955109,1987,2,
850,2014-07-01 00:00:06,2014-07-01 00:14:16,40.7361967,-74.00859207,40.751396,-74.005226,1987,1,
1550,2014-07-01 00:00:21,2014-07-01 00:26:11,40.73781509,-73.99994661,40.71534825,-73.96024116,1973,2,
397,2014-07-01 00:00:29,2014-07-01 00:07:06,40.71146364,-74.00552427,40.70569254,-74.01677685,1982,1,
609,2014-07-01 00:00:37,2014-07-01 00:10:46,40.73652889,-74.00618026,40.75044999,-73.99481051,1972,2,
2245,2014-07-01 00:01:09,2014-07-01 00:38:34,40.68753406,-73.97265183,40.72110063,-73.9919254,1976,1,
1323,2014-07-01 00:01:15,2014-07-01 00:23:18,40.744219,-73.97121214,40.744219,-73.97121214,1993,1,
320,2014-07-01 00:01:16,2014-07-01 00:06:36,40.73524276,-73.98758561,40.74177603,-74.00149746,1985,1,
2430,2014-07-01 00:01:18,2014-07-01 00:41:48,40.76344058,-73.98268129,40.72740794,-73.98142006,1983,1,
700,2014-07-01 00:01:21,2014-07-01 00:13:01,40.717571,-74.005549,40.72299208,-73.97995466,1983,1,
907,2014-07-01 00:01:22,2014-07-01 00:16:29,40.744219,-73.97121214,40.744219,-73.97121214,1990,1,
647,2014-07-01 00:01:35,2014-07-01 00:12:22,40.76228826,-73.98336183,40.75299641,-73.98721619,1959,2,
321,2014-07-01 00:01:46,2014-07-01 00:07:07,40.68317813,-73.9659641,40.680342423,-73.9557689392,1987,1,
1326,2014-07-01 00:01:50,2014-07-01 00:23:56,40.73492695,-73.99200509,40.75594159,-74.0021163,1986,1,
454,2014-07-01 00:01:54,2014-07-01 00:09:28,40.72779126,-73.98564945,40.71729,-73.996375,1984,2,
653,2014-07-01 00:02:04,2014-07-01 00:12:57,40.73221853,-73.98165557,40.74238787,-73.99726235,1964,2,
600,2014-07-01 00:02:13,2014-07-01 00:12:13,40.74147286,-73.98320928,40.75323098,-73.97032517,1983,1,
2543,2014-07-01 00:02:16,2014-07-01 00:44:39,40.68382604,-73.97632328,40.71044554,-73.96525063,0,
270,2014-07-01 00:02:21,2014-07-01 00:06:51,317,-73.98185424,300,-73.990214,19425,1,
261,2014-07-01 00:02:52,2014-07-01 00:07:13,450,-73.98788205,479,-73.9912551,19764,2,
184,2014-07-01 00:02:57,2014-07-01 00:06:01,195,-74.01043382,415,-74.00926027,19831,2,
1819,2014-07-01 00:03:12,2014-07-01 00:33:31,540,-73.98320928,236,-73.98713956,19330,2,
1071,2014-07-01 00:03:19,2014-07-01 00:21:10,252,-73.99852205,532,-73.960876,20340,1,
520,2014-07-01 00:03:20,2014-07-01 00:12:00,144,-73.98068914,217,-73.99383605,15454,1,
392,2014-07-01 00:03:22,2014-07-01 00:09:54,489,-74.00176802,495,-73.99301222,16316,1,
656,2014-07-01 00:03:25,2014-07-01 00:14:21,238,-74.00859207,237,-73.98672378,14552,1,
497,2014-07-01 00:03:26,2014-07-01 00:11:43,144,-73.98068914,217,-73.99383605,20873,1,
315,2014-07-01 00:03:42,2014-07-01 00:08:57,128,-74.00297088,328,-74.00965965,15719,1,
774,2014-07-01 00:03:53,2014-07-01 00:16:47,519,-73.97837,497,-73.99009296,21442,1,
2278,2014-07-01 00:03:55,2014-07-01 00:41:53,469,-73.98268129,445,-73.98142006,17088,2,
596,2014-07-01 00:03:57,2014-07-01 00:13:53,499,-73.98191841,362,-73.98753523,15077,1,
205,2014-07-01 00:04:06,2014-07-01 00:07:31,236,-73.98713956,317,-73.98185424,18461,1,
290,2014-07-01 00:04:09,2014-07-01 00:08:59,329,-74.01020609,152,-74.00910627,15264,1,
778,2014-07-01 00:04:09,2014-07-01 00:17:07,511,-73.97772429,336,-73.99906065,17335,1,
755,2014-07-01 00:04:41,2014-07-01 00:17:16,127,-74.00674436,450,-73.98788205,15781,1,
185,2014-07-01 00:04:59,2014-07-01 00:08:04,454,-73.96592976,516,-73.96784384,15221,2,
464,2014-07-01 00:05:03,2014-07-01 00:12:47,297,-73.986923,540,-73.98320928,17149,1,
1285,2014-07-01 00:05:03,2014-07-01 00:26:28,402,-73.98955109,356,-73.98261206,14644,2,
447,2014-07-01 00:05:04,2014-07-01 00:12:31,297,-73.986923,540,-73.98320928,17933,2,
986,2014-07-01 00:05:12,2014-07-01 00:21:38,487,-73.97573881,511,-73.97772429,20727,1,
