
tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
404,2014-07-01 00:00:04,2014-07-01 00:06:48,545,E 23 St & 1 Ave,40.736502,-73.97809472,402,Broadway & E 22 St,40.7403432,-73.98955109,19578,Subscriber,1987,2,
850,2014-07-01 00:00:06,2014-07-01 00:14:16,238,Bank St & Washington St,40.7361967,-74.00859207,458,11 Ave & W 27 St,40.751396,-74.005226,19224,Subscriber,1987,1,
1550,2014-07-01 00:00:21,2014-07-01 00:26:11,223,W 13 St & 7 Ave,40.73781509,-73.99994661,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,17627,Subscriber,1973,2,
397,2014-07-01 00:00:29,2014-07-01 00:07:06,224,Spruce St & Nassau St,40.71146364,-74.00552427,2008,Little West St & 1 Pl,40.70569254,-74.01677685,15304,Subscriber,1982,1,
609,2014-07-01 00:00:37,2014-07-01 00:10:46,346,Bank St & Hudson St,40.73652889,-74.00618026,521,8 Ave & W 31 St,40.75044999,-73.99481051,20062,Subscriber,1972,2,
2245,2014-07-01 00:01:09,2014-07-01 00:38:34,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,473,Rivington St & Chrystie St,40.72110063,-73.9919254,20653,Subscriber,1976,1,
1323,2014-07-01 00:01:15,2014-07-01 00:23:18,501,FDR Drive & E 35 St,40.744219,-73.97121214,501,FDR Drive & E 35 St,40.744219,-73.97121214,21460,Subscriber,1993,1,
320,2014-07-01 00:01:16,2014-07-01 00:06:36,475,E 16 St & Irving Pl,40.73524276,-73.98758561,116,W 17 St & 8 Ave,40.74177603,-74.00149746,16746,Subscriber,1985,1,
2430,2014-07-01 00:01:18,2014-07-01 00:41:48,469,Broadway & W 53 St,40.76344058,-73.98268129,445,E 10 St & Avenue A,40.72740794,-73.98142006,19441,Subscriber,1983,1,
700,2014-07-01 00:01:21,2014-07-01 00:13:01,320,Leonard St & Church St,40.717571,-74.005549,393,E 5 St & Avenue C,40.72299208,-73.97995466,17267,Subscriber,1983,1,
907,2014-07-01 00:01:22,2014-07-01 00:16:29,501,FDR Drive & E 35 St,40.744219,-73.97121214,501,FDR Drive & E 35 St,40.744219,-73.97121214,21355,Subscriber,1990,1,
647,2014-07-01 00:01:35,2014-07-01 00:12:22,500,Broadway & W 51 St,40.76228826,-73.98336183,533,Broadway & W 39 St,40.75299641,-73.98721619,15001,Subscriber,1959,2,
321,2014-07-01 00:01:46,2014-07-01 00:07:07,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,19861,Subscriber,1987,1,
1326,2014-07-01 00:01:50,2014-07-01 00:23:56,382,University Pl & E 14 St,40.73492695,-73.99200509,525,W 34 St & 11 Ave,40.75594159,-74.0021163,14604,Subscriber,1986,1,
454,2014-07-01 00:01:54,2014-07-01 00:09:28,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,263,Elizabeth St & Hester St,40.71729,-73.996375,21141,Subscriber,1984,2,
653,2014-07-01 00:02:04,2014-07-01 00:12:57,504,1 Ave & E 15 St,40.73221853,-73.98165557,334,W 20 St & 7 Ave,40.74238787,-73.99726235,15645,Subscriber,1964,2,
600,2014-07-01 00:02:13,2014-07-01 00:12:13,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,164,E 47 St & 2 Ave,40.75323098,-73.97032517,14738,Subscriber,1983,1,
2543,2014-07-01 00:02:16,2014-07-01 00:44:39,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,389,Broadway & Berry St,40.71044554,-73.96525063,15004,Customer,null,0,
270,2014-07-01 00:02:21,2014-07-01 00:06:51,317,E 6 St & Avenue B,40.72453734,-73.98185424,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,19425,Subscriber,1990,1,
261,2014-07-01 00:02:52,2014-07-01 00:07:13,450,W 49 St & 8 Ave,40.76227205,-73.98788205,479,9 Ave & W 45 St,40.76019252,-73.9912551,19764,Subscriber,1951,2,
184,2014-07-01 00:02:57,2014-07-01 00:06:01,195,Liberty St & Broadway,40.70905623,-74.01043382,415,Pearl St & Hanover Square,40.7047177,-74.00926027,19831,Subscriber,1969,2,
1819,2014-07-01 00:03:12,2014-07-01 00:33:31,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,19330,Subscriber,1985,2,
1071,2014-07-01 00:03:19,2014-07-01 00:21:10,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,532,S 5 Pl & S 4 St,40.710451,-73.960876,20340,Subscriber,1990,1,
520,2014-07-01 00:03:20,2014-07-01 00:12:00,144,Nassau St & Navy St,40.69839895,-73.98068914,217,Old Fulton St,40.70277159,-73.99383605,15454,Subscriber,1983,1,
392,2014-07-01 00:03:22,2014-07-01 00:09:54,489,10 Ave & W 28 St,40.75066386,-74.00176802,495,W 47 St & 10 Ave,40.76269882,-73.99301222,16316,Subscriber,1985,1,
656,2014-07-01 00:03:25,2014-07-01 00:14:21,238,Bank St & Washington St,40.7361967,-74.00859207,237,E 11 St & 2 Ave,40.73047309,-73.98672378,14552,Subscriber,1982,1,
497,2014-07-01 00:03:26,2014-07-01 00:11:43,144,Nassau St & Navy St,40.69839895,-73.98068914,217,Old Fulton St,40.70277159,-73.99383605,20873,Subscriber,1983,1,
315,2014-07-01 00:03:42,2014-07-01 00:08:57,128,MacDougal St & Prince St,40.72710258,-74.00297088,328,Watts St & Greenwich St,40.72405549,-74.00965965,15719,Subscriber,1962,1,
774,2014-07-01 00:03:53,2014-07-01 00:16:47,519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,497,E 17 St & Broadway,40.73704984,-73.99009296,21442,Subscriber,1985,1,
2278,2014-07-01 00:03:55,2014-07-01 00:41:53,469,Broadway & W 53 St,40.76344058,-73.98268129,445,E 10 St & Avenue A,40.72740794,-73.98142006,17088,Subscriber,1993,2,
596,2014-07-01 00:03:57,2014-07-01 00:13:53,499,Broadway & W 60 St,40.76915505,-73.98191841,362,Broadway & W 37 St,40.75172632,-73.98753523,15077,Subscriber,1985,1,
205,2014-07-01 00:04:06,2014-07-01 00:07:31,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,317,E 6 St & Avenue B,40.72453734,-73.98185424,18461,Subscriber,1987,1,
290,2014-07-01 00:04:09,2014-07-01 00:08:59,329,Greenwich St & N Moore St,40.72043411,-74.01020609,152,Warren St & Church St,40.71473993,-74.00910627,15264,Subscriber,1956,1,
778,2014-07-01 00:04:09,2014-07-01 00:17:07,511,E 14 St & Avenue B,40.72938685,-73.97772429,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,17335,Subscriber,1994,1,
755,2014-07-01 00:04:41,2014-07-01 00:17:16,127,Barrow St & Hudson St,40.73172428,-74.00674436,450,W 49 St & 8 Ave,40.76227205,-73.98788205,15781,Subscriber,1979,1,
185,2014-07-01 00:04:59,2014-07-01 00:08:04,454,E 51 St & 1 Ave,40.75455731,-73.96592976,516,E 47 St & 1 Ave,40.75206862,-73.96784384,15221,Subscriber,1979,2,
464,2014-07-01 00:05:03,2014-07-01 00:12:47,297,E 15 St & 3 Ave,40.734232,-73.986923,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,17149,Subscriber,1964,1,
1285,2014-07-01 00:05:03,2014-07-01 00:26:28,402,Broadway & E 22 St,40.7403432,-73.98955109,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,14644,Subscriber,1986,2,
447,2014-07-01 00:05:04,2014-07-01 00:12:31,297,E 15 St & 3 Ave,40.734232,-73.986923,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,17933,Subscriber,1966,2,
986,2014-07-01 00:05:12,2014-07-01 00:21:38,487,E 20 St & FDR Drive,40.73314259,-73.97573881,511,E 14 St & Avenue B,40.72938685,-73.97772429,20727,Subscriber,1955,1,
858,2014-07-01 00:05:13,2014-07-01 00:19:31,507,E 25 St & 2 Ave,40.73912601,-73.97973776,401,Allen St & Rivington St,40.72019576,-73.98997825,19679,Subscriber,1990,1,
342,2014-07-01 00:05:14,2014-07-01 00:10:56,294,Washington Square E,40.73049393,-73.9957214,79,Franklin St & W Broadway,40.71911552,-74.00666661,21075,Subscriber,1972,1,
1777,2014-07-01 00:05:21,2014-07-01 00:34:58,534,Water - Whitehall Plaza,40.70255065,-74.0127234,435,W 21 St & 6 Ave,40.74173969,-73.99415556,20074,Subscriber,1981,1,
1467,2014-07-01 00:05:26,2014-07-01 00:29:53,514,12 Ave & W 40 St,40.76087502,-74.00277668,426,West St & Chambers St,40.71754834,-74.01322069,18202,Customer,null,0,
993,2014-07-01 00:05:35,2014-07-01 00:22:08,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,440,E 45 St & 3 Ave,40.75255434,-73.97282625,16936,Subscriber,1976,1,
219,2014-07-01 00:05:42,2014-07-01 00:09:21,387,Centre St & Chambers St,40.71273266,-74.0046073,276,Duane St & Greenwich St,40.71748752,-74.0104554,17939,Subscriber,1991,1,
1195,2014-07-01 00:05:45,2014-07-01 00:25:40,146,Hudson St & Reade St,40.71625008,-74.0091059,146,Hudson St & Reade St,40.71625008,-74.0091059,20793,Subscriber,1988,1,
364,2014-07-01 00:05:47,2014-07-01 00:11:51,307,Canal St & Rutgers St,40.71427487,-73.98990025,332,Cherry St,40.71219906,-73.97948148,15217,Subscriber,1959,1,
253,2014-07-01 00:05:47,2014-07-01 00:10:00,251,Mott St & Prince St,40.72317958,-73.99480012,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,15066,Subscriber,1980,1,
1861,2014-07-01 00:05:59,2014-07-01 00:37:00,405,Washington St & Gansevoort St,40.739323,-74.008119,225,W 14 St & The High Line,40.74195138,-74.00803013,20932,Customer,null,0,
